iter	Passed	Remaining
0	43	87814
1	86	86274
2	126	83916
3	163	81702
4	201	80555
5	241	80221
6	279	79516
7	316	78807
8	354	78400
9	392	78010
10	429	77716
11	466	77242
12	504	77137
13	541	76885
14	579	76718
15	615	76316
16	653	76232
17	691	76114
18	726	75698
19	761	75345
20	795	74945
21	830	74692
22	866	74475
23	903	74421
24	936	74015
25	969	73644
26	1005	73500
27	1047	73801
28	1085	73773
29	1120	73562
30	1154	73328
31	1189	73166
32	1226	73111
33	1265	73199
34	1300	73007
35	1336	72894
36	1371	72771
37	1405	72579
38	1439	72379
39	1474	72246
40	1508	72061
41	1542	71915
42	1580	71953
43	1619	71995
44	1652	71780
45	1686	71649
46	1721	71533
47	1754	71354
48	1791	71329
49	1855	72354
50	1889	72200
51	1922	72005
52	1955	71849
53	1995	71902
54	2028	71732
55	2065	71687
56	2104	71722
57	2137	71575
58	2170	71411
59	2207	71360
60	2239	71183
61	2276	71170
62	2311	71061
63	2349	71069
64	2383	70950
65	2415	70785
66	2447	70615
67	2480	70473
68	2513	70340
69	2545	70193
70	2580	70112
71	2611	69936
72	2645	69831
73	2684	69856
74	2715	69710
75	2749	69593
76	2780	69443
77	2817	69435
78	2855	69434
79	2893	69442
80	2926	69327
81	2958	69198
82	2990	69070
83	3023	68970
84	3054	68821
85	3087	68718
86	3119	68594
87	3152	68486
88	3185	68399
89	3223	68419
90	3256	68308
91	3288	68203
92	3320	68094
93	3353	67996
94	3385	67882
95	3417	67772
96	3449	67670
97	3482	67584
98	3512	67442
99	3544	67339
100	3577	67256
101	3608	67143
102	3640	67046
103	3671	66941
104	3705	66882
105	3738	66799
106	3769	66696
107	3804	66654
108	3836	66560
109	3866	66431
110	3899	66358
111	3932	66285
112	3963	66183
113	4000	66187
114	4031	66088
115	4070	66115
116	4102	66030
117	4139	66018
118	4171	65941
119	4204	65873
120	4237	65808
121	4266	65683
122	4297	65586
123	4329	65500
124	4361	65428
125	4394	65361
126	4425	65261
127	4456	65169
128	4487	65078
129	4519	65009
130	4549	64903
131	4579	64804
132	4609	64707
133	4642	64641
134	4672	64556
135	4703	64462
136	4733	64371
137	4770	64366
138	4805	64344
139	4838	64280
140	4870	64220
141	4901	64138
142	4934	64085
143	4967	64019
144	4999	63953
145	5030	63880
146	5065	63847
147	5096	63768
148	5127	63696
149	5161	63656
150	5192	63580
151	5224	63517
152	5255	63441
153	5293	63455
154	5324	63373
155	5356	63313
156	5392	63296
157	5422	63213
158	5453	63146
159	5486	63089
160	5518	63032
161	5550	62971
162	5588	62979
163	5624	62972
164	5657	62921
165	5691	62881
166	5724	62828
167	5756	62778
168	5789	62723
169	5823	62691
170	5857	62655
171	5901	62718
172	5939	62720
173	5973	62683
174	6005	62630
175	6039	62587
176	6072	62541
177	6105	62496
178	6139	62462
179	6174	62426
180	6211	62419
181	6277	62710
182	6332	62878
183	6389	63065
184	6504	63811
185	6567	64048
186	6627	64256
187	6678	64366
188	6745	64637
189	6820	64973
190	6872	65086
191	6919	65154
192	6965	65217
193	7012	65284
194	7056	65321
195	7106	65412
196	7153	65471
197	7202	65552
198	7246	65583
199	7293	65644
200	7340	65696
201	7386	65751
202	7435	65820
203	7482	65873
204	7530	65940
205	7570	65925
206	7603	65856
207	7637	65798
208	7672	65748
209	7705	65681
210	7738	65608
211	7771	65541
212	7803	65470
213	7836	65405
214	7870	65344
215	7914	65365
216	7965	65446
217	8014	65516
218	8061	65560
219	8112	65641
220	8159	65682
221	8209	65746
222	8255	65785
223	8301	65822
224	8352	65889
225	8400	65940
226	8448	65987
227	8490	65989
228	8539	66039
229	8592	66125
230	8637	66148
231	8684	66180
232	8728	66194
233	8773	66217
234	8819	66237
235	8870	66302
236	8917	66331
237	8962	66353
238	9011	66397
239	9061	66451
240	9105	66459
241	9150	66471
242	9194	66477
243	9244	66528
244	9293	66570
245	9340	66598
246	9391	66653
247	9437	66668
248	9483	66692
249	9530	66713
250	9580	66757
251	9624	66761
252	9671	66779
253	9717	66797
254	9762	66808
255	9809	66828
256	9861	66885
257	9908	66903
258	9957	66935
259	10002	66939
260	10049	66957
261	10092	66948
262	10139	66967
263	10183	66964
264	10220	66917
265	10253	66840
266	10286	66763
267	10317	66679
268	10349	66598
269	10382	66521
270	10415	66448
271	10446	66368
272	10478	66287
273	10510	66208
274	10542	66132
275	10578	66076
276	10611	66005
277	10643	65926
278	10675	65849
279	10706	65765
280	10738	65692
281	10773	65631
282	10803	65545
283	10835	65468
284	10865	65385
285	10896	65302
286	10928	65228
287	10960	65155
288	10993	65085
289	11025	65014
290	11058	64946
291	11091	64880
292	11123	64806
293	11155	64732
294	11187	64659
295	11219	64589
296	11251	64516
297	11283	64445
298	11315	64372
299	11345	64293
300	11378	64223
301	11409	64151
302	11441	64078
303	11472	64002
304	11503	63928
305	11534	63852
306	11565	63781
307	11596	63705
308	11627	63628
309	11658	63555
310	11689	63484
311	11721	63414
312	11752	63343
313	11783	63269
314	11814	63196
315	11845	63124
316	11877	63058
317	11909	62990
318	11940	62919
319	11971	62850
320	12003	62785
321	12034	62716
322	12066	62646
323	12097	62576
324	12128	62506
325	12159	62440
326	12191	62373
327	12224	62314
328	12255	62244
329	12287	62180
330	12319	62117
331	12349	62046
332	12380	61978
333	12411	61906
334	12441	61834
335	12471	61765
336	12502	61698
337	12533	61627
338	12564	61562
339	12594	61490
340	12625	61425
341	12656	61355
342	12686	61288
343	12717	61220
344	12747	61150
345	12778	61087
346	12809	61022
347	12840	60953
348	12871	60890
349	12901	60822
350	12932	60757
351	12963	60692
352	12993	60624
353	13029	60582
354	13067	60552
355	13107	60530
356	13150	60522
357	13194	60517
358	13232	60485
359	13275	60477
360	13313	60444
361	13353	60420
362	13392	60397
363	13432	60373
364	13471	60342
365	13512	60326
366	13552	60301
367	13592	60279
368	13633	60259
369	13671	60228
370	13710	60200
371	13750	60178
372	13790	60154
373	13831	60134
374	13869	60102
375	13911	60087
376	13950	60055
377	13992	60040
378	14031	60011
379	14070	59984
380	14111	59964
381	14153	59947
382	14193	59922
383	14234	59901
384	14272	59869
385	14310	59837
386	14351	59814
387	14392	59793
388	14434	59777
389	14471	59739
390	14511	59715
391	14552	59694
392	14593	59673
393	14630	59635
394	14669	59607
395	14710	59586
396	14751	59563
397	14790	59532
398	14831	59511
399	14871	59487
400	14909	59453
401	14947	59417
402	14987	59390
403	15025	59358
404	15057	59302
405	15090	59248
406	15123	59194
407	15158	59145
408	15192	59100
409	15224	59042
410	15256	58983
411	15287	58922
412	15317	58861
413	15349	58803
414	15381	58745
415	15412	58686
416	15444	58628
417	15475	58570
418	15507	58515
419	15539	58458
420	15570	58399
