,A_vs_B,A_vs_C,B_vs_C
M11,1.0,0.8825887507076864,0.8825887507076864
M12,1.0,0.9744165193426172,0.9744165193426172
M13,1.0,0.988398478624432,0.988398478624432
M14,1.0,0.9895508892447447,0.9895508892447447
M21,1.0,0.9676606557108041,0.9676606557108041
M22,1.0,0.8877766720276133,0.8877766720276133
M23,1.0,0.9476963476652666,0.9476963476652666
M24,1.0,0.9593148409671641,0.9593148409671641
M31,1.0,0.9723925990918051,0.9723925990918051
M32,1.0,0.9614708874615709,0.9614708874615709
M33,1.0,0.8870851449510182,0.8870851449510182
M34,1.0,0.962128989882736,0.962128989882736
M41,0.6784348740991875,0.6763358483803565,0.992238906998467
M42,0.40495254916415246,0.39719583293470945,0.9679754471055432
M43,0.449261477657079,0.43687244808379494,0.9601322630001199
M44,0.6001016761245493,0.503048885519351,0.896216250051485
