,A_vs_B,A_vs_C,B_vs_C
M11,1.0,0.3590480907977595,0.3590480907977595
M12,1.0,0.7197708161280866,0.7197708161280866
M13,1.0,0.5802560659010669,0.5802560659010669
M14,1.0,0.5307014074907845,0.5307014074907845
M21,1.0,0.7186350184195289,0.7186350184195289
M22,1.0,0.27317553804292605,0.27317553804292605
M23,1.0,0.651215911574521,0.651215911574521
M24,1.0,0.5466112463929041,0.5466112463929041
M31,1.0,0.6519995406900314,0.6519995406900314
M32,1.0,0.5991829288891994,0.5991829288891994
M33,1.0,0.273021898681606,0.273021898681606
M34,1.0,0.448298613605175,0.448298613605175
M41,0.9658319538695747,0.6033210268250598,0.6291929017853622
M42,0.9639586836642746,0.41886480321287395,0.4533592601693048
M43,0.9590251207793475,0.36370943437175846,0.40203262813763274
M44,0.9831482635997364,0.2580568097590982,0.27148777241489996
